N:40 M:400 mean:30.006875 std:0.028563918865196 time:10.019800186157227
N:80 M:800 mean:60.00765625 std:0.02912627358987795 time:16.23994278907776
N:120 M:1200 mean:90.03125 std:0.027767988726529448 time:18.217078924179077
N:160 M:1600 mean:119.987421875 std:0.027794586859410286 time:35.66691207885742
N:200 M:2000 mean:150.035125 std:0.02833629505047369 time:45.298070669174194
N:240 M:2400 mean:179.98125 std:0.028826325316453363 time:58.53168773651123
N:280 M:2800 mean:209.99147321428572 std:0.028173426671369326 time:69.06982350349426
N:320 M:3200 mean:240.0016796875 std:0.027858065460458454 time:72.1201958656311
N:360 M:3600 mean:269.9972916666667 std:0.0281118434162274 time:82.21706795692444
N:400 M:4000 mean:300.0183125 std:0.02763514645041595 time:90.29542803764343
N:440 M:4400 mean:330.03122159090907 std:0.02782345956781325 time:106.66214776039124
N:480 M:4800 mean:359.99890625 std:0.027867961639297587 time:105.17008352279663
N:520 M:5200 mean:390.00723557692305 std:0.028067449920857565 time:111.24266338348389
N:560 M:5600 mean:419.96640625 std:0.027604257698286 time:120.98569560050964
N:600 M:6000 mean:449.980625 std:0.028267692422548986 time:138.11784744262695
N:640 M:6400 mean:480.02123046875 std:0.027387230913615352 time:141.18725872039795
N:680 M:6800 mean:510.03139705882353 std:0.02795478450668752 time:164.95871925354004
N:720 M:7200 mean:540.0201041666667 std:0.027579357272551386 time:179.92582845687866
N:760 M:7600 mean:570.017384868421 std:0.028196891773134433 time:177.27678632736206
N:800 M:8000 mean:600.02828125 std:0.027953594390186298 time:177.28939247131348
N:840 M:8400 mean:630.0239732142857 std:0.027687162777995124 time:188.13280630111694
N:880 M:8800 mean:660.0355113636364 std:0.027246775993236612 time:203.68098425865173
N:920 M:9200 mean:690.0331521739131 std:0.02796949128147279 time:216.53973364830017
N:960 M:9600 mean:719.9817578125 std:0.028009917611674314 time:214.55513405799866
