N:40 M:400 mean:30.294765625 std:0.022085231061283316 time:6.372078895568848
N:80 M:800 mean:60.799921875 std:0.020710434846019785 time:10.574495553970337
N:120 M:1200 mean:91.09088541666667 std:0.02060868325319235 time:9.057317018508911
N:160 M:1600 mean:121.6579296875 std:0.019369362066198808 time:26.766563415527344
N:200 M:2000 mean:151.99778125 std:0.019045214486169977 time:32.19888138771057
N:240 M:2400 mean:182.53161458333332 std:0.018993534140530486 time:46.84952449798584
N:280 M:2800 mean:212.88194196428572 std:0.01918224477015376 time:54.04809069633484
N:320 M:3200 mean:243.382109375 std:0.01887570365958337 time:63.15464997291565
N:360 M:3600 mean:273.78795138888887 std:0.01921672374191087 time:72.44250059127808
N:400 M:4000 mean:304.293953125 std:0.019215159457217853 time:74.92506408691406
N:440 M:4400 mean:334.6779261363636 std:0.019425726069870558 time:88.09494519233704
N:480 M:4800 mean:365.21065104166667 std:0.018804172498192728 time:81.47750926017761
N:520 M:5200 mean:395.59182692307695 std:0.01915952502046994 time:73.95600080490112
N:560 M:5600 mean:426.09121651785716 std:0.019205156596567075 time:93.10529732704163
N:600 M:6000 mean:456.47419791666664 std:0.019475566210906108 time:107.60925149917603
N:640 M:6400 mean:487.02265625 std:0.018897609785608626 time:104.29356837272644
N:680 M:6800 mean:517.3822610294118 std:0.019275389900066477 time:154.21876168251038
N:720 M:7200 mean:547.9257552083334 std:0.018859051341773913 time:177.58463430404663
N:760 M:7600 mean:578.260427631579 std:0.01906663701541299 time:142.67560005187988
N:800 M:8000 mean:608.8488125 std:0.018791353342673827 time:121.21063137054443
N:840 M:8400 mean:639.2208779761904 std:0.018903546027165288 time:134.44142508506775
N:880 M:8800 mean:669.7464133522727 std:0.01894533349380914 time:154.46227288246155
N:920 M:9200 mean:700.0889402173913 std:0.019112547117397502 time:182.5130434036255
N:960 M:9600 mean:730.6480143229167 std:0.01891807816390991 time:149.47525072097778
