N:40 M:400 mean:29.9721875 std:0.02781986823044593 time:8.830996036529541
N:80 M:800 mean:60.02453125 std:0.0271300527902969 time:14.44707989692688
N:120 M:1200 mean:89.9321875 std:0.028370042185724566 time:21.074520587921143
N:160 M:1600 mean:119.9975 std:0.028126015606662984 time:34.90308165550232
N:200 M:2000 mean:150.04975 std:0.028183494172121386 time:43.08452391624451
N:240 M:2400 mean:180.00625 std:0.027322461951356677 time:61.082473039627075
N:280 M:2800 mean:210.00982142857143 std:0.02764379707407686 time:67.76092147827148
N:320 M:3200 mean:239.989140625 std:0.027307840504146016 time:64.31385827064514
N:360 M:3600 mean:269.97125 std:0.028442047865889608 time:77.87677597999573
N:400 M:4000 mean:300.02703125 std:0.027785133020076753 time:92.64235281944275
N:440 M:4400 mean:330.02073863636366 std:0.028192510892525998 time:105.73969030380249
N:480 M:4800 mean:360.002109375 std:0.02733781722747702 time:110.23114013671875
N:520 M:5200 mean:390.0180528846154 std:0.028203114507378422 time:105.03944230079651
N:560 M:5600 mean:420.00611607142855 std:0.027536850903302528 time:115.40173077583313
N:600 M:6000 mean:449.9984375 std:0.028016937945624223 time:131.32430481910706
N:640 M:6400 mean:479.94142578125 std:0.02799330118526009 time:143.3245620727539
N:680 M:6800 mean:509.99792279411764 std:0.027669228061896478 time:153.1100137233734
N:720 M:7200 mean:540.02625 std:0.02831018892333642 time:170.50973629951477
N:760 M:7600 mean:569.988125 std:0.027965766778643604 time:172.37723064422607
N:800 M:8000 mean:600.00990625 std:0.028063943080848724 time:174.44618129730225
N:840 M:8400 mean:630.0024553571428 std:0.028369074154529415 time:189.5679156780243
N:880 M:8800 mean:660.0284375 std:0.027680451868063092 time:197.25257015228271
N:920 M:9200 mean:689.9892119565218 std:0.028034785850913475 time:214.45946788787842
N:960 M:9600 mean:720.0258984375 std:0.028000298949757432 time:211.68897795677185
